dependency,category,current_action,priority,replacement_decision,replacement_target,headless_location,implementation_notes,completion_criteria
Photon,Network,REMOVE_OR_REPLACE,HIGH,Replace with deterministic local match/session/event abstractions,"Local match runner, action queue, event bus, player/session ids","Headless/Runtime, Headless/Bridge, Headless/Services","Do not port Photon transport, lobby, room, RPC, or network ownership into headless. Any rule/card code that currently checks Photon state should receive explicit player/session/action context from Headless services.","No Headless code references Photon/Pun/ExitGames; card/rule callers can run without PhotonNetwork, PhotonView, RPC attributes, room properties, or network callbacks."
WebSocketSharp,Network,REMOVE_OR_REPLACE,LOW,Remove with Photon transport,"None for local RL; optional future remote runner transport can use System.Net.WebSockets","Headless/Runtime or separate runner project only if remote rollout is required","Current WebSocketSharp usage belongs to Photon networking. Headless local training should not need sockets. If remote self-play orchestration is added later, keep it outside core engine.","Core Headless project has no WebSocketSharp reference; local batch/scenario runners work in-process."
WindowsRuntimeApi,PlatformAPI,REMOVE_OR_REPLACE,LOW,Replace only if retained transport code needs it,"System.Net.Sockets, System.IO, System.Threading, System.Net.WebSockets","Outside Headless core unless transport layer is explicitly added","Windows.* APIs are platform-specific and mostly transport/client related. Prefer cross-platform BCL APIs in a separate adapter if any non-Unity networking survives.","Headless core compiles cross-platform without Windows.Foundation/Windows.Networking/Windows.Storage namespaces."
TextMeshPro,UI,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,"ILogSink, EngineTrace for textual diagnostics only","Headless/Services/ILogSink.cs, Headless/Diagnostics","TextMeshPro renders client text. Replace only meaningful log/status output with plain strings in trace/log services; no font/layout behavior is needed.","No Headless code references TMPro or text rendering classes; diagnostics are plain strings."
Coffee.UIExtensions,UIEffect,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,None,None,"UIParticle/UIEffect/Unmask are visual-only UGUI effects. They should not influence deterministic game state.","No Headless code references Coffee.UIExtensions; visual effect calls are not required for simulation."
DOTween,Animation,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,"Immediate state transition or scheduled engine task only when timing affected logic","Headless/Coroutines, Headless/Runtime","Tweens are presentation timing. If original code waits for tween completion before continuing logic, replace with deterministic task/event step rather than animation timing.","No Headless code references DG.Tweening; logic sequencing uses EngineTaskRunner or direct state transitions."
Shapes2D,VisualAddOn,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,None,None,"Shape rendering add-on. Not part of card/rule/action state.","No Headless code references Shapes2D."
AutoLayout3D,VisualAddOn,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,None,None,"3D layout/UI placement add-on. Not part of deterministic game logic.","No Headless code references AutoLayout3D."
Cinemachine,Camera,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,None,None,"Camera control is client presentation. No headless replacement required.","No Headless code references Cinemachine or camera packages."
WebGLInput,PlatformInput,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,"IChoiceProvider / policy provider for decisions","Headless/Choices","Browser input should become deterministic/scripted/policy choice selection. No WebGL input bridge is needed inside core engine.","No Headless code references WebGLInput; choices enter through IChoiceProvider or actions."
ProfanityFilter,ClientTextFiltering,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,None,None,"Chat/name text filtering is client/social feature and outside local AI/RL simulation.","No Headless code references ProfanityFilter; match simulation does not require chat text validation."
NetPyoung.WebP,ImageCodec,IGNORE_FOR_HEADLESS,NONE,Remove or ignore,"Card metadata loader without image decoding","Headless/DataLoading","WebP/card images are visual assets. Headless card DB should load ids/text/rules, not decode display images.","Headless data loading works from JSON/deck/banlist data without WebP package."
JetBrains.Annotations,Annotation,IGNORE_FOR_HEADLESS,LOW,Remove or replace with C# nullable annotations,"Nullable reference types, XML docs if needed","Any Headless file if annotations become useful","JetBrains annotations are not runtime dependencies. Prefer built-in nullable annotations and compiler analysis.","Headless builds without JetBrains.Annotations package."
org.nuget.system.runtime.compilerservices.unsafe,NuGetRuntime,KEEP_IF_REQUIRED,LOW,Keep only if a chosen .NET dependency requires it,"Normal NuGet transitive dependency if needed","HeadlessDCGO.Engine.csproj only if required later","Do not add preemptively. Current Headless build does not require it. If a future parser/library needs it, let NuGet resolve the dependency.","Current Headless build succeeds without explicit Unsafe package reference."
Unity NuGet,PackageRegistry,REVIEW,LOW,Do not carry Unity package registry into core engine,"nuget.org or explicit PackageReference only if required","HeadlessDCGO.Engine.csproj / repository package config","Unity scoped registry is a Unity package restore concern, not a headless runtime dependency. For .NET, use normal NuGet packages only when the engine actually needs them.","Headless project restore/build does not rely on Unity scoped registry."
Realtime,UnknownNonSystem,REVIEW,MEDIUM,Review occurrence and map to Photon or local time/session concept,"Likely Photon.Realtime or local deterministic clock/session","Headless/Bridge or Headless/Services after source review","The scan saw one unresolved Realtime symbol. If it is Photon.Realtime, remove/replace with local session objects. If it is a domain type, classify separately.","The specific occurrence is manually classified and either removed from Headless scope or mapped to a concrete Headless service."
SelectCardEffect,UnknownNonSystem,REVIEW,HIGH,Preserve domain meaning but replace UI implementation,"ChoiceRequest, ChoiceCandidate, ChoiceZone, IChoiceProvider","Headless/Choices, Headless/Runtime","Although detected as non-Unity dependency, this is likely project UI/domain selection code. Do not ignore blindly. Preserve game-zone selection semantics and route decisions through Headless choice APIs.","All SelectCardEffect-driven gameplay decisions can be expressed as ChoiceRequest/ChoiceResult without UI objects."
